
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                 Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

157_d3_9934_d3_1       7.317      1.016          0          0         0         0
157_d3_65574_d3_1      7.349      1.021     0.0708     0.9633   0.06286    0.8553
157_d3_64347_d3_2       7.35      1.021    0.06739     0.9168   0.06214    0.8454
157_d3_64348_d3_2       7.35      1.021    0.06739     0.9168   0.06214    0.8454
157_d3_64349_d3_1       7.35      1.021    0.06739     0.9168   0.06214    0.8454
157_d3_64350_d3_3       7.35      1.021    0.06739     0.9168   0.06214    0.8454
151_d3_42215            7.35      1.021    0.06739     0.9168   0.06214    0.8454
oh164056                7.35      1.021    0.06739     0.9168   0.06214    0.8454
157_d3_65962_d3_2       7.35      1.021    0.06739     0.9168   0.06214    0.8454
155_d3_17501            7.35      1.021    0.06739     0.9168   0.06214    0.8454
157_d3_65963_d3_2      7.337      1.019          0          0         0         0
oh164055                7.35      1.021    0.06739     0.9168   0.06214    0.8454
157_d3_26026_d3_5       7.35      1.021    0.06739     0.9168   0.06214    0.8454
151_d3_42217            7.35      1.021    0.06739     0.9168   0.06214    0.8454
157_d3_26025_d3_2       7.35      1.021    0.06739     0.9168   0.06214    0.8454
157_d3_10841_d3_1       7.35      1.021    0.06739     0.9168   0.06214    0.8454
157_d3_65960_d3_3       7.35      1.021    0.06721     0.9144    0.0621    0.8449
157_d3_65959_d3_2      7.201          1     0.1171      1.626  0.008344    0.1159
157_d3_10503_d3_1      7.356      1.022     0.2335      3.174     0.108     1.468
157_d3_10504_d3_1      7.356      1.022     0.2336      3.175    0.1077     1.465
157_d3_10505_d3_1      7.356      1.022     0.2337      3.177    0.1075     1.462
157_d3_9963_d3_1       7.323      1.017          0          0         0         0
157_d3_10506_d3_1      7.356      1.022     0.2338      3.178    0.1073     1.459
157_d3_10507_d3_1      7.356      1.022     0.2338      3.179    0.1072     1.457
157_d3_10508_d3_1      7.322      1.017          0          0         0         0
157_d3_10509_d3_1      7.322      1.017          0          0         0         0
157_d3_10510_d3_1      7.322      1.017          0          0         0         0
157_d3_10513_d3_1      7.321      1.017          0          0         0         0
157_d3_10514_d3_1      7.321      1.017          0          0         0         0
157_d3_9965_d3_1       7.321      1.017          0          0         0         0
157_d3_9966_d3_1       7.321      1.017          0          0         0         0
157_d3_10515_d3_1       7.32      1.017          0          0         0         0
157_d3_10516_d3_1       7.32      1.017          0          0         0         0
157_d3_9973_d3_1        7.32      1.017          0          0         0         0
157_d3_9972_d3_1        7.32      1.017          0          0         0         0
157_d3_9967_d3_1       7.319      1.017          0          0         0         0
157_d3_9968_d3_1        7.32      1.017          0          0         0         0
157_d3_10511_d3_1      7.356      1.022     0.2338      3.179    0.1072     1.457
157_d3_10512_d3_1      7.356      1.022     0.2338      3.179    0.1072     1.457
157_d3_9964_d3_1       7.513      1.044          0          0         0         0
157_d3_10500_d3_1      7.357      1.022     0.2295       3.12    0.1072     1.458
